hello
watching
sir
ma'am
maam
madam
sirmaam
maamsir
arnel
ignacio
good
morning
afternoon
evening
gud
goodmorning
goodafternoon
goodaft
goodevening
goodeve
goodpm
salamat
thanks
godbless
gabi
umaga
tanghali
hapon
magandang
from
about
